,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_IN_Vip,SM_IN_Lamp5,SM_IN_Sncg,SM_EX_L2.3.IT,SM_IN_Pvalb,SM_EX_L6b,SM_IN_Sst
SF_IN,0.015228426395939087,0.0,0.05263157894736842,0.05263157894736842,0.04712041884816754,0.02040816326530612,0.02040816326530612,0.02564102564102564,0.02564102564102564,0.03626943005181347,0.030927835051546393,0.030927835051546393
SF_EX,0.02564102564102564,0.02040816326530612,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.005025125628140704,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.010101010101010102
SF_NN,0.0,0.005025125628140704,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.02040816326530612,0.010101010101010102,0.015228426395939087,0.0,0.005025125628140704,0.0,0.005025125628140704
