,BICCN2_gene_cluster_ASC,BICCN2_gene_cluster_OGC,BICCN2_gene_cluster_OPC,BICCN2_gene_cluster_L23.a,BICCN2_gene_cluster_L5.IT.b,BICCN2_gene_cluster_L23.c,BICCN2_gene_cluster_L5.PT,BICCN2_gene_cluster_L6.IT,BICCN2_gene_cluster_L6.CT,BICCN2_gene_cluster_L23.b,BICCN2_gene_cluster_L4,BICCN2_gene_cluster_Endo,BICCN2_gene_cluster_Other,BICCN2_gene_cluster_Smc,BICCN2_gene_cluster_L5.IT.a,BICCN2_gene_cluster_MGC,BICCN2_gene_cluster_NP,BICCN2_gene_cluster_Pv_Tac1,BICCN2_gene_cluster_Vip_Hcls1,BICCN2_gene_cluster_Lamp5_Smad3,BICCN2_gene_cluster_Sst_Man1a,BICCN2_gene_cluster_Vip_Gcnt4,BICCN2_gene_cluster_Sst_Chrna2_Myh8,BICCN2_gene_cluster_Pv_Ntf3_Trim63,BICCN2_gene_cluster_Sncg,BICCN2_gene_cluster_Lamp5_Mettl21e,BICCN2_gene_cluster_Pv_Vsig2,BICCN2_gene_cluster_Vip_Chat,BICCN2_gene_cluster_Sst_Stk33,BICCN2_gene_cluster_Lamp5_Arhgdib,BICCN2_gene_cluster_Lamp5_Ndnf,BICCN2_gene_cluster_Chodl,BICCN2_gene_cluster_Vip_Lipg
SF_IN,0.015228426395939087,0.005025125628140704,0.010101010101010102,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.17647058823529413,0.17647058823529413,0.15606936416184972,0.15606936416184972,0.13636363636363635,0.13636363636363635,0.14285714285714285,0.14285714285714285,0.04712041884816754,0.05263157894736842,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07526881720430108,0.08695652173913043
SF_EX,0.0,0.0,0.0,0.02564102564102564,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.04712041884816754,0.03626943005181347,0.041666666666666664,0.041666666666666664,0.0,0.005025125628140704,0.0,0.015228426395939087,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF_NN,0.1695906432748538,0.041666666666666664,0.0582010582010582,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02040816326530612,0.015228426395939087,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0
