,GSE1303990_gene_cluster_1,GSE1303990_gene_cluster_8,GSE1303990_gene_cluster_3,GSE1303990_gene_cluster_4,GSE1303990_gene_cluster_5,GSE1303990_gene_cluster_2,GSE1303990_gene_cluster_9,GSE1303990_gene_cluster_6,GSE1303990_gene_cluster_7
SF_NN,0.10497237569060773,0.0,0.041666666666666664,0.0,0.0,0.02040816326530612,0.005025125628140704,0.0,0.0
SF_EX,0.005025125628140704,0.0,0.0,0.02040816326530612,0.03626943005181347,0.0,0.0,0.0,0.005025125628140704
SF_IN,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0
