,GSE123576_gene_cluster_14,GSE123576_gene_cluster_5,GSE123576_gene_cluster_9,GSE123576_gene_cluster_6,GSE123576_gene_cluster_24,GSE123576_gene_cluster_1,GSE123576_gene_cluster_27,GSE123576_gene_cluster_13,GSE123576_gene_cluster_25,GSE123576_gene_cluster_17,GSE123576_gene_cluster_21,GSE123576_gene_cluster_8,GSE123576_gene_cluster_16,GSE123576_gene_cluster_3,GSE123576_gene_cluster_12,GSE123576_gene_cluster_11,GSE123576_gene_cluster_2,GSE123576_gene_cluster_18,GSE123576_gene_cluster_20,GSE123576_gene_cluster_19,GSE123576_gene_cluster_23,GSE123576_gene_cluster_10,GSE123576_gene_cluster_4,GSE123576_gene_cluster_15,GSE123576_gene_cluster_22,GSE123576_gene_cluster_26,GSE123576_gene_cluster_7
SF_IN,0.10497237569060773,0.12994350282485875,0.13636363636363635,0.005025125628140704,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02040816326530612,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.0
SF_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0582010582010582,0.06382978723404255,0.04712041884816754,0.04712041884816754,0.03626943005181347,0.041666666666666664,0.041666666666666664,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.030927835051546393,0.02564102564102564,0.02040816326530612,0.02564102564102564,0.010101010101010102,0.010101010101010102,0.015228426395939087,0.015228426395939087,0.0,0.005025125628140704
SF_NN,0.005025125628140704,0.0,0.0,0.12359550561797752,0.06951871657754011,0.04712041884816754,0.02564102564102564,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.0,0.010101010101010102,0.005025125628140704
