,GSE127257_gene_cluster_26,GSE127257_gene_cluster_19,GSE127257_gene_cluster_14,GSE127257_gene_cluster_22,GSE127257_gene_cluster_25,GSE127257_gene_cluster_20,GSE127257_gene_cluster_18,GSE127257_gene_cluster_7,GSE127257_gene_cluster_23,GSE127257_gene_cluster_5,GSE127257_gene_cluster_11,GSE127257_gene_cluster_10,GSE127257_gene_cluster_15,GSE127257_gene_cluster_13,GSE127257_gene_cluster_24,GSE127257_gene_cluster_1,GSE127257_gene_cluster_12,GSE127257_gene_cluster_2,GSE127257_gene_cluster_16,GSE127257_gene_cluster_21,GSE127257_gene_cluster_3,GSE127257_gene_cluster_17,GSE127257_gene_cluster_4,GSE127257_gene_cluster_6,GSE127257_gene_cluster_8,GSE127257_gene_cluster_9
SF_IN,0.005025125628140704,0.08695652173913043,0.08108108108108109,0.07526881720430108,0.010101010101010102,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.03626943005181347,0.02564102564102564,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.015228426395939087,0.015228426395939087,0.0,0.0,0.0,0.010101010101010102,0.005025125628140704
SF_EX,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.03626943005181347,0.041666666666666664,0.005025125628140704,0.0,0.0,0.010101010101010102,0.015228426395939087,0.02040816326530612,0.02564102564102564,0.02564102564102564,0.005025125628140704,0.010101010101010102,0.015228426395939087,0.005025125628140704,0.0,0.0,0.0,0.0
SF_NN,0.0989010989010989,0.010101010101010102,0.0,0.005025125628140704,0.06382978723404255,0.03626943005181347,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.015228426395939087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
